timestamp,layer,evaluation_name,metric,ranker,run_name,k,score,questions_evaluated,total_gold_nuggets,parameters_json,retrieval_results_path,benchmark_path
2026-06-19T01:00:32,semantic,semantic_SemanticNuggetMatch@5,SemanticNuggetMatch,lexical,ranker_lexical,5,0.4192,20,81,"{""metric"": ""nugget"", ""k"": 5, ""model_name"": ""sentence-transformers/all-MiniLM-L6-v2"", ""device"": ""cpu"", ""batch_size"": 16, ""score_range"": ""cosine similarity clipped to [0, 1]"", ""questions_with_evidence"": 20, ""aggregation"": ""nugget: mean over all gold nuggets using best matching top-k snippet; answer: mean over questions using gold answer vs concatenated top-k snippets""}",outputs\ranker_lexical\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
2026-06-19T01:00:32,semantic,semantic_SemanticAnswerMatch@5,SemanticAnswerMatch,lexical,ranker_lexical,5,0.54931,20,81,"{""metric"": ""answer"", ""k"": 5, ""model_name"": ""sentence-transformers/all-MiniLM-L6-v2"", ""device"": ""cpu"", ""batch_size"": 16, ""score_range"": ""cosine similarity clipped to [0, 1]"", ""questions_with_evidence"": 20, ""aggregation"": ""nugget: mean over all gold nuggets using best matching top-k snippet; answer: mean over questions using gold answer vs concatenated top-k snippets""}",outputs\ranker_lexical\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
2026-06-19T01:03:47,semantic,semantic_SemanticNuggetMatch@5,SemanticNuggetMatch,medcpt,ranker_medcpt,5,0.425815,20,81,"{""metric"": ""nugget"", ""k"": 5, ""model_name"": ""sentence-transformers/all-MiniLM-L6-v2"", ""device"": ""cpu"", ""batch_size"": 16, ""score_range"": ""cosine similarity clipped to [0, 1]"", ""questions_with_evidence"": 20, ""aggregation"": ""nugget: mean over all gold nuggets using best matching top-k snippet; answer: mean over questions using gold answer vs concatenated top-k snippets""}",outputs\ranker_medcpt\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
2026-06-19T01:03:47,semantic,semantic_SemanticAnswerMatch@5,SemanticAnswerMatch,medcpt,ranker_medcpt,5,0.587075,20,81,"{""metric"": ""answer"", ""k"": 5, ""model_name"": ""sentence-transformers/all-MiniLM-L6-v2"", ""device"": ""cpu"", ""batch_size"": 16, ""score_range"": ""cosine similarity clipped to [0, 1]"", ""questions_with_evidence"": 20, ""aggregation"": ""nugget: mean over all gold nuggets using best matching top-k snippet; answer: mean over questions using gold answer vs concatenated top-k snippets""}",outputs\ranker_medcpt\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
2026-06-19T01:09:07,semantic,semantic_SemanticNuggetMatch@5,SemanticNuggetMatch,hybrid,ranker_hybrid,5,0.430029,20,81,"{""metric"": ""nugget"", ""k"": 5, ""model_name"": ""sentence-transformers/all-MiniLM-L6-v2"", ""device"": ""cpu"", ""batch_size"": 16, ""score_range"": ""cosine similarity clipped to [0, 1]"", ""questions_with_evidence"": 20, ""aggregation"": ""nugget: mean over all gold nuggets using best matching top-k snippet; answer: mean over questions using gold answer vs concatenated top-k snippets""}",outputs\ranker_hybrid\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
2026-06-19T01:09:07,semantic,semantic_SemanticAnswerMatch@5,SemanticAnswerMatch,hybrid,ranker_hybrid,5,0.594633,20,81,"{""metric"": ""answer"", ""k"": 5, ""model_name"": ""sentence-transformers/all-MiniLM-L6-v2"", ""device"": ""cpu"", ""batch_size"": 16, ""score_range"": ""cosine similarity clipped to [0, 1]"", ""questions_with_evidence"": 20, ""aggregation"": ""nugget: mean over all gold nuggets using best matching top-k snippet; answer: mean over questions using gold answer vs concatenated top-k snippets""}",outputs\ranker_hybrid\retrieval_results.csv,benchmarks\provideq_web_rag_evidence_benchmark_20.csv
