run_label,run_dir,k,question_count,ROUGE1_Nugget@k,ROUGEL_Nugget@k,ROUGE_Nugget@k,BM25_Nugget@k,avg_nuggets_per_question,avg_retrieved_snippets_used,embedding_model,SemanticNuggetMatch@k,SemanticAnswerMatch@k
lexical,outputs\evaluation\provideq20_lexical,1,20,0.016,0.014,0.015,0.0249,4.05,0.15,sentence-transformers/all-MiniLM-L6-v2,0.0556,0.106
lexical,outputs\evaluation\provideq20_lexical,3,20,0.0179,0.0152,0.0166,0.03,4.05,0.45,sentence-transformers/all-MiniLM-L6-v2,0.0606,0.1106
lexical,outputs\evaluation\provideq20_lexical,5,20,0.0216,0.0191,0.0204,0.0402,4.05,0.75,sentence-transformers/all-MiniLM-L6-v2,0.0618,0.1106
lexical,outputs\evaluation\provideq20_lexical,10,20,0.0232,0.0205,0.0218,0.046,4.05,1.3,sentence-transformers/all-MiniLM-L6-v2,0.0691,0.1106
